# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.100000  9.999750e+02 0.011137 0 2e-01  9.999749e+02 0.101543 0 2e-01
1.086477e+03 0.100000  1.086446e+03 0.011141 0 2e-02  1.086447e+03 0.101565 0 2e-01
1.180433e+03 0.100000  1.180435e+03 0.011141 0 2e-02  1.180435e+03 0.101566 0 2e-01
1.282513e+03 0.100000  1.282508e+03 0.011142 0 2e-02  1.282507e+03 0.101561 0 2e-01
1.393421e+03 0.100000  1.393410e+03 0.011140 0 2e-02  1.393409e+03 0.101549 0 2e-01
1.513920e+03 0.100000  1.513908e+03 0.011142 0 2e-02  1.513907e+03 0.101546 0 2e-01
1.644840e+03 0.100000  1.644816e+03 0.011140 0 2e-02  1.644816e+03 0.101535 0 2e-01
1.787081e+03 0.100000  1.787087e+03 0.011136 0 2e-02  1.787087e+03 0.101523 0 2e-01
1.941623e+03 0.100000  1.941608e+03 0.011135 0 2e-02  1.941610e+03 0.101525 0 2e-01
2.109529e+03 0.100000  2.109490e+03 0.011138 0 2e-02  2.109490e+03 0.101517 0 2e-01
2.291955e+03 0.100000  2.291958e+03 0.011134 0 2e-02  2.291956e+03 0.101508 0 2e-01
2.490156e+03 0.100000  2.490090e+03 0.011136 0 2e-02  2.490088e+03 0.101502 0 2e-01
2.705498e+03 0.100000  2.705501e+03 0.011131 0 2e-02  2.705501e+03 0.101497 0 2e-01
2.939462e+03 0.100000  2.939464e+03 0.011134 0 2e-02  2.939461e+03 0.101484 0 2e-01
3.193658e+03 0.100000  3.193582e+03 0.011135 0 2e-02  3.193580e+03 0.101490 0 2e-01
3.469836e+03 0.100000  3.469748e+03 0.011136 0 2e-02  3.469745e+03 0.101484 0 2e-01
3.769898e+03 0.100000  3.769808e+03 0.011133 0 2e-02  3.769808e+03 0.101482 0 2e-01
4.095908e+03 0.100000  4.095801e+03 0.011133 0 2e-02  4.095796e+03 0.101476 0 2e-01
4.450111e+03 0.100000  4.450095e+03 0.011135 0 2e-02  4.450095e+03 0.101464 0 2e-01
4.834943e+03 0.100000  4.834839e+03 0.011136 0 2e-02  4.834838e+03 0.101472 0 2e-01
5.253056e+03 0.100000  5.253046e+03 0.011137 0 2e-02  5.253050e+03 0.101470 0 2e-01
5.707325e+03 0.100000  5.707314e+03 0.011138 0 2e-02  5.707321e+03 0.101461 0 2e-01
6.200878e+03 0.100000  6.200721e+03 0.011137 0 2e-02  6.200714e+03 0.101470 0 2e-01
6.737112e+03 0.100000  6.737132e+03 0.011140 0 2e-02  6.737136e+03 0.101474 0 2e-01
7.319719e+03 0.100000  7.319592e+03 0.011142 0 2e-02  7.319607e+03 0.101470 0 2e-01
7.952707e+03 0.100000  7.952689e+03 0.011151 0 2e-02  7.952691e+03 0.101489 0 2e-01
8.640435e+03 0.100000  8.640334e+03 0.011151 0 2e-02  8.640355e+03 0.101486 0 2e-01
9.387635e+03 0.100000  9.387662e+03 0.011163 0 2e-02  9.387670e+03 0.101499 0 2e-01
1.019945e+04 0.100000  1.019944e+04 0.011166 0 2e-02  1.019947e+04 0.101517 0 2e-01
1.108147e+04 0.100000  1.108131e+04 0.011178 0 2e-02  1.108133e+04 0.101519 0 2e-01
1.203976e+04 0.100000  1.203948e+04 0.011189 0 2e-02  1.203948e+04 0.101545 0 2e-01
1.308093e+04 0.100000  1.308064e+04 0.011195 0 2e-02  1.308061e+04 0.101558 0 2e-01
1.421213e+04 0.100000  1.421220e+04 0.011220 0 2e-02  1.421219e+04 0.101572 0 2e-01
1.544116e+04 0.100000  1.544074e+04 0.011227 0 2e-02  1.544082e+04 0.101570 0 2e-01
1.677646e+04 0.100000  1.677601e+04 0.011249 0 2e-02  1.677607e+04 0.101567 0 2e-01
1.822724e+04 0.100000  1.822721e+04 0.011273 0 2e-02  1.822726e+04 0.101540 0 2e-01
1.980348e+04 0.100000  1.980336e+04 0.011307 0 2e-02  1.980343e+04 0.101524 0 2e-01
2.151603e+04 0.100000  2.151570e+04 0.011348 0 2e-02  2.151579e+04 0.101530 0 2e-01
2.337668e+04 0.100000  2.337670e+04 0.011399 0 2e-02  2.337676e+04 0.101542 0 2e-01
2.539823e+04 0.100000  2.539810e+04 0.011453 0 2e-02  2.539813e+04 0.101528 0 2e-01
2.759459e+04 0.100000  2.759382e+04 0.011535 0 2e-02  2.759395e+04 0.101535 0 2e-01
2.998090e+04 0.100000  2.998085e+04 0.011622 0 2e-02  2.998100e+04 0.101535 0 2e-01
3.257356e+04 0.100000  3.257255e+04 0.011720 0 2e-02  3.257299e+04 0.101549 0 2e-01
3.539043e+04 0.100000  3.538953e+04 0.011871 0 2e-02  3.538959e+04 0.101550 0 2e-01
3.845089e+04 0.100000  3.845097e+04 0.012025 0 2e-02  3.845072e+04 0.101544 0 2e-01
4.177601e+04 0.100000  4.177612e+04 0.012220 0 2e-02  4.177569e+04 0.101563 0 2e-01
4.538868e+04 0.100000  4.538925e+04 0.012452 0 2e-02  4.538859e+04 0.101556 0 2e-01
4.931377e+04 0.100000  4.931349e+04 0.012738 0 2e-02  4.931279e+04 0.101597 0 2e-01
5.357828e+04 0.100000  5.357806e+04 0.013088 0 2e-02  5.357746e+04 0.101614 0 2e-01
5.821158e+04 0.100000  5.821150e+04 0.013471 0 2e-02  5.821183e+04 0.101606 0 2e-01
6.324555e+04 0.100000  6.324592e+04 0.013950 0 2e-02  6.324547e+04 0.101604 0 2e-01
6.871485e+04 0.100000  6.871486e+04 0.014529 0 2e-02  6.871370e+04 0.101597 0 2e-01
7.465711e+04 0.100000  7.465641e+04 0.015199 0 2e-02  7.465535e+04 0.101662 0 2e-01
8.111325e+04 0.100000  8.111298e+04 0.015979 0 2e-02  8.111164e+04 0.101655 0 2e-01
8.812769e+04 0.100000  8.812697e+04 0.016876 0 2e-02  8.812789e+04 0.101732 0 2e-01
9.574872e+04 0.100000  9.574922e+04 0.017810 0 2e-02  9.574778e+04 0.101789 0 2e-01
1.040288e+05 0.100000  1.040294e+05 0.018882 0 2e-02  1.040271e+05 0.101760 0 2e-01
1.130249e+05 0.100000  1.130224e+05 0.020108 0 2e-02  1.130251e+05 0.101726 0 2e-01
1.227990e+05 0.100000  1.227964e+05 0.021444 0 5e-02  1.227963e+05 0.101674 0 2e-01
1.334183e+05 0.100000  1.334151e+05 0.022940 0 5e-02  1.334182e+05 0.101540 0 2e-01
1.449559e+05 0.100000  1.449525e+05 0.024626 0 5e-02  1.449523e+05 0.101487 0 2e-01
1.574913e+05 0.100000  1.574899e+05 0.026515 0 5e-02  1.574873e+05 0.101399 0 2e-01
1.711107e+05 0.100000  1.711119e+05 0.028592 0 5e-02  1.711096e+05 0.101405 0 2e-01
1.859079e+05 0.100000  1.859062e+05 0.031019 0 5e-02  1.859034e+05 0.101365 0 2e-01
2.019847e+05 0.100000  2.019843e+05 0.033676 0 5e-02  2.019830e+05 0.101385 0 2e-01
2.194517e+05 0.100000  2.194535e+05 0.036671 0 5e-02  2.194501e+05 0.101417 0 2e-01
2.384293e+05 0.100000  2.384273e+05 0.040023 0 5e-02  2.384298e+05 0.101408 0 2e-01
2.590480e+05 0.100000  2.590472e+05 0.043853 0 5e-02  2.590428e+05 0.101419 0 2e-01
2.814497e+05 0.100000  2.814487e+05 0.048140 0 5e-02  2.814464e+05 0.101334 0 2e-01
3.057887e+05 0.100000  3.057890e+05 0.053027 0 5e-02  3.057906e+05 0.101350 0 2e-01
3.322324e+05 0.100000  3.322289e+05 0.058647 0 1e-01  3.322250e+05 0.101342 0 2e-01
3.609629e+05 0.100000  3.609531e+05 0.065118 0 1e-01  3.609575e+05 0.101299 0 2e-01
3.921780e+05 0.100000  3.921742e+05 0.072623 0 1e-01  3.921780e+05 0.101240 0 2e-01
4.260924e+05 0.100000  4.260929e+05 0.081207 0 1e-01  4.260906e+05 0.101216 0 2e-01
4.629397e+05 0.100000  4.629376e+05 0.091317 0 1e-01  4.629344e+05 0.101148 0 2e-01
5.029734e+05 0.100000  5.029730e+05 0.103194 0 1e-01  5.029706e+05 0.101110 0 2e-01
5.464691e+05 0.100000  5.464714e+05 0.116820 0 2e-01  5.464712e+05 0.101001 0 2e-01
5.937262e+05 0.100000  5.937146e+05 0.132592 0 2e-01  5.937152e+05 0.100945 0 2e-01
6.450699e+05 0.100000  6.450605e+05 0.150386 0 2e-01  6.450551e+05 0.100836 0 2e-01
7.008537e+05 0.100000  7.008333e+05 0.169999 0 2e-01  7.008481e+05 0.100784 0 2e-01
7.614616e+05 0.100000  7.614528e+05 0.190402 0 2e-01  7.614657e+05 0.100623 0 2e-01
8.273106e+05 0.100000  8.272926e+05 0.209680 0 2e-01  8.273028e+05 0.100561 0 2e-01
8.988541e+05 0.100000  8.988361e+05 0.225908 0 5e-01  8.988503e+05 0.100257 0 2e-01
9.765844e+05 0.100000  9.765762e+05 0.236788 0 5e-01  9.765643e+05 0.100172 0 2e-01
1.061037e+06 0.100000  1.061044e+06 0.241202 0 5e-01  1.061023e+06 0.100030 0 2e-01
1.152792e+06 0.100000  1.152797e+06 0.239410 0 5e-01  1.152777e+06 0.099761 0 2e-01
1.252482e+06 0.100000  1.252453e+06 0.231754 0 5e-01  1.252450e+06 0.099436 0 1e-01
1.360793e+06 0.100000  1.360773e+06 0.215388 0 5e-01  1.360765e+06 0.099157 0 1e-01
1.478471e+06 0.100000  1.478477e+06 0.186448 0 5e-01  1.478448e+06 0.098619 0 1e-01
1.606325e+06 0.100000  1.606306e+06 0.148952 0 2e-01  1.606325e+06 0.098126 0 1e-01
1.745235e+06 0.100000  1.745188e+06 0.113432 0 2e-01  1.745226e+06 0.097253 0 1e-01
1.896158e+06 0.100000  1.896170e+06 0.083357 0 2e-01  1.896135e+06 0.096570 0 1e-01
2.060133e+06 0.100000  2.060140e+06 0.059754 0 1e-01  2.060154e+06 0.095401 0 1e-01
2.238287e+06 0.100000  2.238278e+06 0.042107 0 1e-01  2.238267e+06 0.094106 0 1e-01
2.431848e+06 0.100000  2.431767e+06 0.029128 0 5e-02  2.431766e+06 0.093037 0 1e-01
2.642147e+06 0.100000  2.642055e+06 0.020074 0 5e-02  2.642143e+06 0.091495 0 1e-01
2.870632e+06 0.100000  2.870527e+06 0.013925 0 5e-02  2.870634e+06 0.089816 0 1e-01
3.118877e+06 0.100000  3.118597e+06 0.009064 0 2e-02  3.118931e+06 0.087604 0 1e-01
3.388588e+06 0.100000  3.388605e+06 0.005456 0 1e-02  3.388666e+06 0.085833 0 1e-01
3.681624e+06 0.100000  3.681520e+06 0.003713 0 1e-02  3.681565e+06 0.083093 0 1e-01
4.000000e+06 0.100000  3.999764e+06 0.002431 0 1e-02  4.000051e+06 0.080747 0 1e-01
