# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.001000  9.599455e+02 0.000002 0 1e-02  9.999592e+02 0.000821 0 1e-02
1.000000e+03 0.001216  1.016360e+03 0.000002 0 1e-02  1.000011e+03 0.000829 0 1e-02
1.000000e+03 0.001480  1.025788e+03 0.000003 0 1e-02  9.999960e+02 0.000828 0 1e-02
1.000000e+03 0.001800  9.645547e+02 0.000002 0 1e-02  9.999697e+02 0.000837 0 1e-02
1.000000e+03 0.002190  1.018354e+03 0.000002 0 1e-02  9.999648e+02 0.001914 0 1e-02
1.000000e+03 0.002664  9.626619e+02 0.000003 0 1e-02  9.999794e+02 0.001913 0 1e-02
1.000000e+03 0.003241  9.620316e+02 0.000002 0 1e-02  9.999906e+02 0.002919 0 1e-02
1.000000e+03 0.003942  1.005374e+03 0.000002 0 1e-02  9.999885e+02 0.002919 0 1e-02
1.000000e+03 0.004796  9.878542e+02 0.000001 0 1e-02  1.000003e+03 0.003924 0 1e-02
1.000000e+03 0.005834  9.868999e+02 0.000001 0 1e-02  9.999772e+02 0.004925 0 1e-02
1.000000e+03 0.007097  1.008344e+03 -0.000000 0 2e-02  9.999913e+02 0.006958 0 2e-02
1.000000e+03 0.008633  1.027650e+03 0.000002 0 2e-02  9.999933e+02 0.007968 0 2e-02
1.000000e+03 0.010502  9.582045e+02 0.000003 0 2e-02  9.999992e+02 0.010006 0 2e-02
1.000000e+03 0.012775  9.626250e+02 0.000002 0 1e-02  1.000000e+03 0.012055 0 2e-02
1.000000e+03 0.015541  1.010160e+03 0.000000 0 1e-02  9.999831e+02 0.014504 0 2e-02
1.000000e+03 0.018905  1.009433e+03 -0.000001 0 1e-02  9.999764e+02 0.017720 0 2e-02
1.000000e+03 0.022998  9.996678e+02 0.000006 0 1e-02  1.000004e+03 0.021799 0 2e-02
1.000000e+03 0.027976  1.001099e+03 0.000006 0 1e-02  9.999772e+02 0.026857 0 5e-02
1.000000e+03 0.034033  1.001130e+03 0.000005 0 1e-02  1.000004e+03 0.034024 0 5e-02
1.000000e+03 0.041400  1.000544e+03 0.000008 0 1e-02  9.999817e+02 0.041117 0 5e-02
1.000000e+03 0.050363  1.000808e+03 0.000008 0 1e-02  9.999917e+02 0.050336 0 5e-02
1.000000e+03 0.061265  1.001007e+03 0.000010 0 1e-02  9.999976e+02 0.061518 0 1e-01
1.000000e+03 0.074528  9.996794e+02 0.000016 0 1e-02  9.999834e+02 0.074863 0 1e-01
1.000000e+03 0.090662  1.000196e+03 0.000018 0 1e-02  9.999886e+02 0.091287 0 1e-01
1.000000e+03 0.110289  9.999267e+02 0.000020 0 1e-02  9.999948e+02 0.111938 0 1e-01
1.000000e+03 0.134164  9.999134e+02 0.000030 0 1e-02  9.999973e+02 0.136924 0 2e-01
1.000000e+03 0.163208  1.000077e+03 0.000033 0 1e-02  9.999753e+02 0.158658 0 2e-01
1.000000e+03 0.198540  1.000028e+03 0.000041 0 1e-02  9.999933e+02 0.194733 0 2e-01
1.000000e+03 0.241520  1.000047e+03 0.000052 0 1e-02  9.999860e+02 0.238636 0 2e-01
1.000000e+03 0.293804  9.998914e+02 0.000062 0 1e-02  9.999871e+02 0.291506 0 5e-01
1.000000e+03 0.357407  9.999279e+02 0.000078 0 1e-02  9.999760e+02 0.356608 0 5e-01
1.000000e+03 0.434779  1.000010e+03 0.000096 0 1e-02  1.000002e+03 0.434706 0 5e-01
1.000000e+03 0.528901  1.000034e+03 0.000117 0 1e-02  9.999970e+02 0.530854 0 5e-01
1.000000e+03 0.643398  9.999640e+02 0.000144 0 1e-02  9.999988e+02 0.647444 0 1e+00
1.000000e+03 0.782682  1.000023e+03 0.000179 0 1e-02  1.000003e+03 0.789784 0 1e+00
1.000000e+03 0.952118  1.000018e+03 0.000216 0 1e-02  9.999846e+02 0.964612 0 1e+00
1.000000e+03 1.158234  9.999684e+02 0.000264 0 1e-02  9.999927e+02 1.177012 0 1e+00
1.000000e+03 1.408970  9.999979e+02 0.000321 0 1e-02  9.999975e+02 1.438962 0 2e+00
1.000000e+03 1.713985  9.999911e+02 0.000372 0 1e-02  9.999747e+02 1.669470 0 2e+00
1.000000e+03 2.085031  9.999714e+02 0.000456 0 1e-02  9.999955e+02 2.042300 0 2e+00
1.000000e+03 2.536402  9.999729e+02 0.000561 0 1e-02  9.999752e+02 2.503180 0 5e+00
1.000000e+03 3.085485  9.999766e+02 0.000684 0 1e-02  9.999982e+02 3.054000 0 5e+00
1.000000e+03 3.753435  9.999718e+02 0.000836 0 1e-02  9.999880e+02 3.733960 0 5e+00
1.000000e+03 4.565984  9.999930e+02 0.001021 0 1e-02  1.000004e+03 4.552480 0 5e+00
1.000000e+03 5.554434  9.999684e+02 0.001247 0 1e-02  9.999871e+02 5.558300 0 5e+00
1.000000e+03 6.756865  9.999916e+02 0.001521 0 1e-02  1.000003e+03 6.775320 0 1e+01
1.000000e+03 8.219600  9.999811e+02 0.001857 0 1e-02  9.999749e+02 8.266400 0 1e+01
1.000000e+03 9.998990  9.999927e+02 0.002266 0 1e-02  1.000004e+03 10.081980 0 1e+01
1.000000e+03 12.163585  9.999818e+02 0.002768 0 1e-02  9.999952e+02 12.311380 0 2e+01
1.000000e+03 14.796774  9.999772e+02 0.002525 0 2e-01  9.999888e+02 15.051140 0 2e+01
1.000000e+03 18.000000  9.999971e+02 0.008287 0 2e-01  1.000003e+03 18.321320 0 2e+01
