# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.001000  1.000011e+03 0.830198 0 1e+00  1.000002e+03 0.000837 0 1e+00
1.000000e+03 0.001216  1.000007e+03 0.829894 0 1e+00  1.000004e+03 0.000832 0 1e-02
1.000000e+03 0.001480  1.000018e+03 0.834904 0 1e+00  1.000012e+03 0.000838 0 1e-02
1.000000e+03 0.001800  1.000027e+03 0.832524 0 1e+00  1.000026e+03 0.000834 0 1e-02
1.000000e+03 0.002190  9.999998e+02 1.897722 0 2e+00  1.000002e+03 0.001898 0 2e-02
1.000000e+03 0.002664  9.999791e+02 1.903644 0 2e+00  9.999751e+02 0.001903 0 1e-02
1.000000e+03 0.003241  1.000012e+03 2.892800 0 2e+00  1.000014e+03 0.002893 0 1e-02
1.000000e+03 0.003942  9.999856e+02 2.906640 0 5e+00  9.999889e+02 0.002914 0 1e-02
1.000000e+03 0.004796  9.999793e+02 3.907660 0 5e+00  9.999784e+02 0.003918 0 1e-02
1.000000e+03 0.005834  9.999928e+02 4.908680 0 5e+00  9.999945e+02 0.004923 0 1e-02
1.000000e+03 0.007097  9.999986e+02 6.911280 0 5e+00  1.000000e+03 0.006932 0 1e-02
1.000000e+03 0.008633  1.000000e+03 7.898980 0 1e+01  1.000002e+03 0.007956 0 1e-02
1.000000e+03 0.010502  9.999910e+02 9.541680 0 1e+01  9.999929e+02 0.009987 0 1e-02
1.000000e+03 0.012775  9.999962e+02 10.802880 0 2e+01  9.999930e+02 0.012048 0 2e-02
1.000000e+03 0.015541  9.999866e+02 14.093940 0 2e+01  9.999822e+02 0.014513 0 2e-02
1.000000e+03 0.018905  9.999922e+02 15.279440 0 2e+01  9.999889e+02 0.017721 0 2e-02
1.000000e+03 0.022998  1.000005e+03 15.973900 0 2e+01  1.000004e+03 0.021796 0 2e-02
1.000000e+03 0.027976  9.999701e+02 16.407460 0 2e+01  9.999750e+02 0.026851 0 5e-02
1.000000e+03 0.034033  1.000005e+03 16.715340 0 2e+01  1.000002e+03 0.034019 0 5e-02
1.000000e+03 0.041400  9.999962e+02 16.876460 0 2e+01  9.999956e+02 0.041109 0 5e-02
1.000000e+03 0.050363  9.999699e+02 16.995660 0 2e+01  9.999753e+02 0.050325 0 5e-02
1.000000e+03 0.061265  1.000001e+03 17.078380 0 2e+01  9.999963e+02 0.061513 0 1e-01
1.000000e+03 0.074528  9.999642e+02 17.137120 0 2e+01  9.999750e+02 0.074847 0 1e-01
1.000000e+03 0.090662  9.999997e+02 17.180760 0 2e+01  9.999944e+02 0.091280 0 1e-01
1.000000e+03 0.110289  9.999725e+02 17.215340 0 2e+01  9.999759e+02 0.111924 0 1e-01
1.000000e+03 0.134164  1.000006e+03 17.241560 0 2e+01  1.000002e+03 0.136920 0 2e-01
1.000000e+03 0.163208  9.999924e+02 17.249800 0 2e+01  9.999871e+02 0.158734 0 2e-01
1.000000e+03 0.198540  1.000006e+03 17.268640 0 2e+01  1.000004e+03 0.194771 0 2e-01
1.000000e+03 0.241520  1.000002e+03 17.282400 0 2e+01  1.000000e+03 0.238654 0 2e-01
1.000000e+03 0.293804  1.000006e+03 17.292040 0 2e+01  1.000003e+03 0.291532 0 5e-01
1.000000e+03 0.357407  9.999928e+02 17.298920 0 2e+01  9.999879e+02 0.356660 0 5e-01
1.000000e+03 0.434779  9.999677e+02 17.303860 0 2e+01  9.999752e+02 0.434760 0 5e-01
1.000000e+03 0.528901  9.999830e+02 17.306800 0 2e+01  9.999834e+02 0.530876 0 5e-01
1.000000e+03 0.643398  1.000005e+03 17.308940 0 2e+01  1.000004e+03 0.647462 0 1e+00
1.000000e+03 0.782682  1.000005e+03 17.310340 0 2e+01  1.000002e+03 0.789718 0 1e+00
1.000000e+03 0.952118  9.999741e+02 17.311620 0 2e+01  9.999768e+02 0.964652 0 1e+00
1.000000e+03 1.158234  9.999659e+02 17.312900 0 2e+01  9.999755e+02 1.177050 0 1e+00
1.000000e+03 1.408970  9.999965e+02 17.313260 0 2e+01  9.999942e+02 1.438886 0 2e+00
1.000000e+03 1.713985  9.999877e+02 17.310440 0 2e+01  9.999843e+02 1.670212 0 2e+00
1.000000e+03 2.085031  9.999973e+02 17.312020 0 2e+01  9.999946e+02 2.042480 0 2e+00
1.000000e+03 2.536402  9.999905e+02 17.313080 0 2e+01  9.999867e+02 2.503540 0 5e+00
1.000000e+03 3.085485  9.999986e+02 17.313500 0 2e+01  9.999945e+02 3.054120 0 5e+00
1.000000e+03 3.753435  9.999745e+02 17.314320 0 2e+01  9.999780e+02 3.734320 0 5e+00
1.000000e+03 4.565984  9.999928e+02 17.314440 0 2e+01  9.999902e+02 4.552800 0 5e+00
1.000000e+03 5.554434  9.999610e+02 17.315060 0 2e+01  9.999747e+02 5.558660 0 5e+00
1.000000e+03 6.756865  1.000006e+03 17.314860 0 2e+01  1.000003e+03 6.775420 0 1e+01
1.000000e+03 8.219600  1.000002e+03 17.315100 0 2e+01  9.999990e+02 8.266240 0 1e+01
1.000000e+03 9.998990  9.999997e+02 17.315480 0 2e+01  9.999960e+02 10.082320 0 1e+01
1.000000e+03 12.163585  9.999824e+02 17.315900 0 2e+01  9.999821e+02 12.311840 0 2e+01
1.000000e+03 14.796774  1.000009e+03 12.889400 0 2e+01  1.000000e+03 15.050060 0 2e+01
1.000000e+03 18.000000  9.999898e+02 6.469820 0 2e+01  9.999844e+02 18.321880 0 2e+01
