# F_set      Vpp_set 
  F0           Vpp0   OVL0 RNG0
  F1           Vpp1   OVL1 RNG1
1.000000e+03 0.100000  9.999827e+02 0.001112 0 2e-01  9.999877e+02 0.101557 0 2e-01
1.086477e+03 0.100000  1.086465e+03 0.001109 0 1e-02  1.086461e+03 0.101581 0 2e-01
1.180433e+03 0.100000  1.180434e+03 0.001109 0 1e-02  1.180428e+03 0.101584 0 2e-01
1.282513e+03 0.100000  1.282479e+03 0.001110 0 1e-02  1.282484e+03 0.101566 0 2e-01
1.393421e+03 0.100000  1.393396e+03 0.001109 0 1e-02  1.393392e+03 0.101563 0 2e-01
1.513920e+03 0.100000  1.513876e+03 0.001110 0 1e-02  1.513882e+03 0.101554 0 2e-01
1.644840e+03 0.100000  1.644806e+03 0.001109 0 1e-02  1.644797e+03 0.101548 0 2e-01
1.787081e+03 0.100000  1.787083e+03 0.001110 0 1e-02  1.787085e+03 0.101548 0 2e-01
1.941623e+03 0.100000  1.941632e+03 0.001108 0 1e-02  1.941628e+03 0.101535 0 2e-01
2.109529e+03 0.100000  2.109509e+03 0.001110 0 1e-02  2.109488e+03 0.101532 0 2e-01
2.291955e+03 0.100000  2.291970e+03 0.001108 0 1e-02  2.291959e+03 0.101520 0 2e-01
2.490156e+03 0.100000  2.490172e+03 0.001108 0 1e-02  2.490160e+03 0.101504 0 2e-01
2.705498e+03 0.100000  2.705498e+03 0.001108 0 1e-02  2.705482e+03 0.101503 0 2e-01
2.939462e+03 0.100000  2.939454e+03 0.001109 0 1e-02  2.939426e+03 0.101508 0 2e-01
3.193658e+03 0.100000  3.193633e+03 0.001110 0 1e-02  3.193638e+03 0.101496 0 2e-01
3.469836e+03 0.100000  3.469749e+03 0.001109 0 1e-02  3.469775e+03 0.101490 0 2e-01
3.769898e+03 0.100000  3.769915e+03 0.001109 0 1e-02  3.769895e+03 0.101488 0 2e-01
4.095908e+03 0.100000  4.095925e+03 0.001112 0 1e-02  4.095915e+03 0.101487 0 2e-01
4.450111e+03 0.100000  4.449938e+03 0.001113 0 1e-02  4.449998e+03 0.101484 0 2e-01
4.834943e+03 0.100000  4.834936e+03 0.001112 0 1e-02  4.834927e+03 0.101476 0 2e-01
5.253056e+03 0.100000  5.252826e+03 0.001115 0 1e-02  5.252928e+03 0.101482 0 2e-01
5.707325e+03 0.100000  5.707209e+03 0.001117 0 1e-02  5.707220e+03 0.101484 0 2e-01
6.200878e+03 0.100000  6.200680e+03 0.001118 0 1e-02  6.200729e+03 0.101488 0 2e-01
6.737112e+03 0.100000  6.737088e+03 0.001125 0 1e-02  6.737109e+03 0.101496 0 2e-01
7.319719e+03 0.100000  7.319660e+03 0.001122 0 1e-02  7.319542e+03 0.101499 0 2e-01
7.952707e+03 0.100000  7.952773e+03 0.001128 0 1e-02  7.952701e+03 0.101519 0 2e-01
8.640435e+03 0.100000  8.640363e+03 0.001134 0 1e-02  8.640461e+03 0.101508 0 2e-01
9.387635e+03 0.100000  9.387497e+03 0.001130 0 1e-02  9.387468e+03 0.101517 0 2e-01
1.019945e+04 0.100000  1.019906e+04 0.001138 0 1e-02  1.019922e+04 0.101537 0 2e-01
1.108147e+04 0.100000  1.108108e+04 0.001143 0 1e-02  1.108124e+04 0.101549 0 2e-01
1.203976e+04 0.100000  1.203934e+04 0.001146 0 1e-02  1.203948e+04 0.101565 0 2e-01
1.308093e+04 0.100000  1.308088e+04 0.001157 0 1e-02  1.308091e+04 0.101571 0 2e-01
1.421213e+04 0.100000  1.421171e+04 0.001164 0 1e-02  1.421182e+04 0.101580 0 2e-01
1.544116e+04 0.100000  1.544117e+04 0.001167 0 1e-02  1.544113e+04 0.101571 0 2e-01
1.677646e+04 0.100000  1.677602e+04 0.001180 0 1e-02  1.677606e+04 0.101558 0 2e-01
1.822724e+04 0.100000  1.822686e+04 0.001191 0 1e-02  1.822695e+04 0.101546 0 2e-01
1.980348e+04 0.100000  1.980350e+04 0.001212 0 1e-02  1.980299e+04 0.101542 0 2e-01
2.151603e+04 0.100000  2.151451e+04 0.001218 0 1e-02  2.151571e+04 0.101526 0 2e-01
2.337668e+04 0.100000  2.337609e+04 0.001247 0 1e-02  2.337667e+04 0.101529 0 2e-01
2.539823e+04 0.100000  2.539898e+04 0.001259 0 1e-02  2.539782e+04 0.101532 0 2e-01
2.759459e+04 0.100000  2.759518e+04 0.001293 0 1e-02  2.759411e+04 0.101541 0 2e-01
2.998090e+04 0.100000  2.998054e+04 0.001326 0 1e-02  2.998096e+04 0.101518 0 2e-01
3.257356e+04 0.100000  3.257435e+04 0.001361 0 1e-02  3.257303e+04 0.101523 0 2e-01
3.539043e+04 0.100000  3.539110e+04 0.001411 0 1e-02  3.538998e+04 0.101539 0 2e-01
3.845089e+04 0.100000  3.845053e+04 0.001458 0 1e-02  3.845099e+04 0.101538 0 2e-01
4.177601e+04 0.100000  4.177375e+04 0.001511 0 1e-02  4.177512e+04 0.101546 0 2e-01
4.538868e+04 0.100000  4.538820e+04 0.001582 0 1e-02  4.538768e+04 0.101553 0 2e-01
4.931377e+04 0.100000  4.931407e+04 0.001658 0 1e-02  4.931393e+04 0.101561 0 2e-01
5.357828e+04 0.100000  5.357838e+04 0.001735 0 1e-02  5.357774e+04 0.101590 0 2e-01
5.821158e+04 0.100000  5.820985e+04 0.001832 0 1e-02  5.821009e+04 0.101612 0 2e-01
6.324555e+04 0.100000  6.324331e+04 0.001943 0 1e-02  6.324588e+04 0.101609 0 2e-01
6.871485e+04 0.100000  6.871079e+04 0.002073 0 1e-02  6.871331e+04 0.101628 0 2e-01
7.465711e+04 0.100000  7.465674e+04 0.002205 0 1e-02  7.465520e+04 0.101652 0 2e-01
8.111325e+04 0.100000  8.111388e+04 0.002362 0 1e-02  8.111316e+04 0.101673 0 2e-01
8.812769e+04 0.100000  8.812811e+04 0.002527 0 1e-02  8.812643e+04 0.101693 0 2e-01
9.574872e+04 0.100000  9.574660e+04 0.002724 0 1e-02  9.574919e+04 0.101697 0 2e-01
1.040288e+05 0.100000  1.040253e+05 0.002918 0 1e-02  1.040264e+05 0.101724 0 2e-01
1.130249e+05 0.100000  1.130221e+05 0.003155 0 1e-02  1.130235e+05 0.101695 0 2e-01
1.227990e+05 0.100000  1.227943e+05 0.003407 0 1e-02  1.227980e+05 0.101666 0 2e-01
1.334183e+05 0.100000  1.334164e+05 0.003695 0 1e-02  1.334173e+05 0.101543 0 2e-01
1.449559e+05 0.100000  1.449520e+05 0.003993 0 1e-02  1.449564e+05 0.101481 0 2e-01
1.574913e+05 0.100000  1.574889e+05 0.004345 0 1e-02  1.574873e+05 0.101486 0 2e-01
1.711107e+05 0.100000  1.711116e+05 0.004709 0 1e-02  1.711092e+05 0.101411 0 2e-01
1.859079e+05 0.100000  1.859044e+05 0.005125 0 1e-02  1.859046e+05 0.101462 0 2e-01
2.019847e+05 0.100000  2.019811e+05 0.005573 0 1e-02  2.019813e+05 0.101451 0 2e-01
2.194517e+05 0.100000  2.194548e+05 0.006061 0 1e-02  2.194515e+05 0.101414 0 2e-01
2.384293e+05 0.100000  2.384226e+05 0.006646 0 1e-02  2.384276e+05 0.101418 0 2e-01
2.590480e+05 0.100000  2.590485e+05 0.007265 0 1e-02  2.590465e+05 0.101382 0 2e-01
2.814497e+05 0.100000  2.814547e+05 0.007982 0 1e-02  2.814467e+05 0.101456 0 2e-01
3.057887e+05 0.100000  3.057832e+05 0.008783 0 1e-02  3.057809e+05 0.101405 0 2e-01
3.322324e+05 0.100000  3.322227e+05 0.009647 0 1e-02  3.322250e+05 0.101382 0 2e-01
3.609629e+05 0.100000  3.609561e+05 0.010576 0 1e-02  3.609616e+05 0.101383 0 2e-01
3.921780e+05 0.100000  3.921665e+05 0.011692 0 2e-02  3.921713e+05 0.101331 0 2e-01
4.260924e+05 0.100000  4.260898e+05 0.013012 0 2e-02  4.260822e+05 0.101284 0 2e-01
4.629397e+05 0.100000  4.629267e+05 0.014481 0 2e-02  4.629322e+05 0.101128 0 2e-01
5.029734e+05 0.100000  5.029621e+05 0.016222 0 2e-02  5.029616e+05 0.101122 0 2e-01
5.464691e+05 0.100000  5.464577e+05 0.018190 0 2e-02  5.464660e+05 0.100974 0 2e-01
5.937262e+05 0.100000  5.937223e+05 0.020513 0 2e-02  5.937142e+05 0.100960 0 2e-01
6.450699e+05 0.100000  6.450725e+05 0.023353 0 5e-02  6.450687e+05 0.100829 0 2e-01
7.008537e+05 0.100000  7.008473e+05 0.026490 0 5e-02  7.008557e+05 0.100628 0 2e-01
7.614616e+05 0.100000  7.614722e+05 0.030124 0 5e-02  7.614647e+05 0.100542 0 2e-01
8.273106e+05 0.100000  8.273009e+05 0.033918 0 5e-02  8.273114e+05 0.100375 0 2e-01
8.988541e+05 0.100000  8.988370e+05 0.037790 0 5e-02  8.988386e+05 0.100230 0 2e-01
9.765844e+05 0.100000  9.765869e+05 0.041260 0 5e-02  9.765764e+05 0.099922 0 2e-01
1.061037e+06 0.100000  1.061042e+06 0.044210 0 5e-02  1.061013e+06 0.099656 0 1e-01
1.152792e+06 0.100000  1.152752e+06 0.046725 0 5e-02  1.152796e+06 0.099279 0 1e-01
1.252482e+06 0.100000  1.252498e+06 0.048257 0 5e-02  1.252448e+06 0.098969 0 1e-01
1.360793e+06 0.100000  1.360789e+06 0.049091 0 5e-02  1.360763e+06 0.098674 0 1e-01
1.478471e+06 0.100000  1.478461e+06 0.048507 0 5e-02  1.478433e+06 0.098235 0 1e-01
1.606325e+06 0.100000  1.606296e+06 0.046371 0 5e-02  1.606311e+06 0.097697 0 1e-01
1.745235e+06 0.100000  1.745243e+06 0.042707 0 5e-02  1.745239e+06 0.096900 0 1e-01
1.896158e+06 0.100000  1.896092e+06 0.038533 0 5e-02  1.896140e+06 0.096614 0 1e-01
2.060133e+06 0.100000  2.060121e+06 0.033810 0 5e-02  2.060156e+06 0.095861 0 1e-01
2.238287e+06 0.100000  2.238217e+06 0.029454 0 5e-02  2.238314e+06 0.095418 0 1e-01
2.431848e+06 0.100000  2.431779e+06 0.025359 0 5e-02  2.431862e+06 0.094788 0 1e-01
2.642147e+06 0.100000  2.642104e+06 0.021333 0 5e-02  2.642097e+06 0.094208 0 1e-01
2.870632e+06 0.100000  2.870615e+06 0.017498 0 5e-02  2.870555e+06 0.093439 0 1e-01
3.118877e+06 0.100000  3.118723e+06 0.013185 0 2e-02  3.118794e+06 0.090861 0 1e-01
3.388588e+06 0.100000  3.388507e+06 0.010395 0 2e-02  3.388504e+06 0.087247 0 1e-01
3.681624e+06 0.100000  3.681804e+06 0.007671 0 2e-02  3.681732e+06 0.082929 0 1e-01
4.000000e+06 0.100000  4.000309e+06 0.004586 0 1e-02  3.999720e+06 0.079622 0 1e-01
